date, pm25, pm10, o3, no2, co
2019/12/23, 208, 305, 20, 10, 21
2019/12/24, 302, 137, 14, 4, 17
2019/12/25, 195, 199, 16, 5, 16
2019/12/26, 239, 208, 20, 7, 19
2019/12/27, 253, 269, 19, 5, 22
2019/12/28, 317, 435, 27, 5, 28
2019/12/29, 374, , , , 
2019/7/1, 152, 167, 48, 18, 6
2019/7/2, 170, 79, 22, , 6
2019/7/3, 122, 59, 18, 15, 7
2019/7/4, 122, 49, 13, 4, 7
2019/7/5, 120, 51, 24, 6, 6
2019/7/6, 113, 62, 27, 8, 6
2019/7/7, 128, 86, 24, 7, 6
2019/7/8, 141, 160, 15, 6, 6
2019/7/9, 150, 207, 16, 6, 6
2019/7/10, 164, 203, 18, 6, 5
2019/7/11, 171, 123, 15, 5, 6
2019/7/12, 164, 134, 15, 6, 5
2019/7/13, 158, 160, 17, 6, 4
2019/7/14, 180, 126, 31, 10, 3
2019/7/15, 113, 67, 55, 6, 5
2019/7/16, 127, 54, 8, 6, 5
2019/7/17, 93, 42, 15, 6, 5
2019/7/18, 95, 84, 8, 11, 5
2019/7/19, 167, 55, 28, 16, 3
2019/7/20, 130, 65, 38, 11, 6
2019/7/21, 132, 55, 44, 6, 6
2019/7/22, 123, 81, 51, 4, 6
2019/7/23, 143, 73, 59, 4, 6
2019/7/24, 126, 31, 13, 17, 5
2019/7/25, 80, 25, 13, 9, 8
2019/7/26, 74, 31, 14, 4, 6
2019/7/27, 68, 34, 13, 3, 6
2019/7/28, 66, 44, 14, 3, 6
2019/7/29, 69, 56, 15, 3, 6
2019/7/30, 88, 54, 17, 3, 6
2019/7/31, 88, 56, 19, 3, 6
2019/8/1, 106, 62, 16, 3, 6
2019/8/2, 101, 56, 14, 4, 7
2019/8/3, 106, 54, 17, 10, 6
2019/8/4, 129, 37, 16, 7, 8
2019/8/5, 152, 41, 12, 4, 6
2019/8/6, 84, 51, 18, 4, 6
2019/8/7, 74, 57, 16, 4, 5
2019/8/8, 74, 47, 14, 10, 4
2019/8/9, 123, 45, 12, 13, 3
2019/8/10, 127, 30, 14, 4, 4
2019/8/11, 59, 55, 4, 4, 5
2019/8/12, 75, , , , 
2019/8/14, 93, 48, 16, 4, 6
2019/8/15, 77, 35, 13, 4, 4
2019/8/16, 58, 34, 7, 4, 4
2019/8/17, 84, , , , 
2019/8/19, 84, 73, 19, 7, 7
2019/8/20, 127, 99, 23, 6, 6
2019/8/21, 128, 83, 13, 6, 4
2019/8/22, 105, , , , 
2019/8/27, 105, 64, 20, 4, 4
2019/8/28, 108, 60, 19, 4, 5
2019/8/29, 120, 45, 19, 4, 5
2019/8/30, 103, 67, 24, 5, 5
2019/8/31, 136, 21, 16, 4, 6
2019/9/1, 97, , 23, 4, 6
2019/9/2, 121, 40, 29, 6, 8
2019/9/3, 165, 94, 23, 5, 7
2019/9/4, 161, 60, 17, 4, 5
2019/9/5, 94, 62, 18, 4, 5
2019/9/6, 99, 55, 15, 4, 5
2019/9/7, 97, 55, 33, 4, 5
2019/9/8, 98, 73, 28, 5, 6
2019/9/9, 136, 98, 46, 5, 8
2019/9/10, 165, 106, 30, 4, 7
2019/9/11, 167, 82, 20, 8, 13
2019/9/12, 145, 61, 17, 10, 25
2019/9/13, 108, 55, 18, 3, 25
2019/9/14, 94, 51, 17, 3, 25
2019/9/15, 97, 72, 34, 7, 29
2019/9/16, 123, 85, 39, 4, 29
2019/9/17, 145, 65, 25, 3, 27
2019/9/18, 107, 47, 16, 3, 26
2019/9/19, 75, 61, 16, 4, 27
2019/9/20, 103, 68, 20, 7, 26
2019/9/21, 103, 27, 13, 4, 29
2019/9/22, 24, 52, 25, 4, 27
2019/9/23, 86, , , , 
2019/9/26, 98, 37, 11, 6, 9
2019/9/27, 49, 42, 12, 7, 8
2019/9/28, 67, 34, 15, 7, 6
2019/9/29, 50, 47, 17, 8, 7
2019/9/30, 82, 57, 19, 9, 7
2019/4/1, 88, 113, 36, 3, 1
2019/4/2, 127, 96, 29, 3, 4
2019/4/3, 116, 168, 31, 3, 10
2019/4/4, 161, 157, 38, 3, 10
2019/4/5, 182, 197, 37, 3, 3
2019/4/6, 171, 267, 29, 3, 4
2019/4/7, 210, 213, 31, 3, 3
2019/4/8, 187, 129, 42, 3, 2
2019/4/9, 171, 147, 36, 4, 5
2019/4/10, 150, 120, 30, 3, 
2019/4/11, 125, 169, 34, 3, 5
2019/4/12, 105, 102, 5, 2, 9
2019/4/13, 84, 135, 26, 8, 7
2019/4/14, 124, 123, 24, 8, 7
2019/4/15, 129, 167, 25, 19, 7
2019/4/16, 171, 19, 20, 15, 8
2019/4/17, 150, 53, 33, 7, 7
2019/4/18, 82, 116, 32, 10, 8
2019/4/19, 141, 111, 37, 10, 8
2019/4/20, 140, 124, 34, 10, 9
2019/4/21, 148, 169, 39, 13, 13
2019/4/22, 167, 193, 33, 11, 9
2019/4/23, 171, 203, 34, 10, 8
2019/4/24, 167, 247, 35, 9, 8
2019/4/25, 166, 169, 33, 11, 9
2019/4/26, 158, 274, 26, 11, 7
2019/4/27, 161, , 27, 10, 7
2019/4/28, 167, 173, 28, 11, 8
2019/4/29, 174, 176, 36, 12, 9
2019/4/30, 177, 267, 71, 13, 9
2019/5/1, 195, 220, 37, 12, 8
2019/5/2, 168, 96, 39, 11, 7
2019/5/3, 130, 120, 35, 14, 8
2019/5/4, 164, 153, 35, 13, 8
2019/5/5, 169, 150, 33, 14, 8
2019/5/6, 175, 208, 22, 14, 8
2019/5/7, 186, 280, 24, 14, 8
2019/5/8, 196, 399, 28, 11, 8
2019/5/9, 306, 192, 29, 8, 5
2019/5/10, 166, 188, 35, 11, 7
2019/5/11, 183, 313, 34, 11, 8
2019/5/12, 255, 146, 44, 13, 9
2019/5/13, 189, 73, 34, 10, 6
2019/5/14, 154, 102, 32, 10, 8
2019/5/15, 165, 150, 33, 12, 7
2019/5/16, 169, 159, 27, 15, 6
2019/5/17, 164, 66, 30, 14, 7
2019/5/18, 136, 89, 37, 12, 7
2019/5/19, 160, 124, 31, 13, 9
2019/5/20, 187, 107, 38, 12, 7
2019/5/21, 166, 109, 28, 13, 7
2019/5/22, 157, 108, 41, 13, 7
2019/5/23, 161, 74, 30, 13, 7
2019/5/24, 133, 70, 30, 13, 6
2019/5/25, 127, 84, 33, 13, 6
2019/5/26, 147, 93, 33, 14, 7
2019/5/27, 151, 94, 34, 14, 6
2019/5/28, 141, 104, 35, 14, 6
2019/5/29, 157, 140, 9, 17, 10
2019/5/30, 181, , , , 
2019/6/23, 129, 57, 23, , 6
2019/6/24, 86, 76, 46, , 7
2019/6/25, 132, 88, 28, 22, 6
2019/6/26, 156, 137, 28, 22, 5
2019/6/27, 161, 138, 20, 22, 5
2019/6/28, 153, 156, 19, 21, 4
2019/6/29, 157, 178, 22, 22, 6
2019/6/30, 160, 135, 34, 21, 5
2019/1/1, 255, 250, 20, 8, 8
2019/1/2, 268, 328, 15, 8, 10
2019/1/3, 306, 263, 10, 7, 10
2019/1/4, 260, 300, 14, 7, 12
2019/1/5, 276, 150, 5, 12, 8
2019/1/6, 210, 145, 16, 6, 6
2019/1/7, 195, 143, 23, 7, 3
2019/1/8, 194, 125, 25, 7, 2
2019/1/9, 169, 119, 26, 7, 5
2019/1/10, 169, 197, 33, 7, 8
2019/1/11, 223, 215, 10, 7, 9
2019/1/12, 236, 289, 20, 8, 10
2019/1/13, 257, 131, 8, 7, 21
2019/1/14, 162, , , , 
2019/1/16, 204, 378, 37, 8, 30
2019/1/17, 307, 257, 25, 9, 22
2019/1/18, 242, 332, 34, 8, 34
2019/1/19, 235, , 32, 8, 41
2019/1/20, 182, 98, 23, 7, 30
2019/1/21, 176, 55, 20, 7, 26
2019/1/22, 151, 136, 25, 4, 40
2019/1/23, 189, 119, 24, 5, 38
2019/1/24, 173, 80, 22, 5, 30
2019/1/25, 133, 106, 27, 5, 28
2019/1/26, 151, 114, 26, 6, 30
2019/1/27, 175, 98, 27, 5, 27
2019/1/28, 154, 103, 26, 5, 34
2019/1/29, 166, 159, 26, 4, 40
