date, pm25, pm10, o3, no2, co
2020/1/14, 212, 125, 23, 3, 10
2020/1/15, 194, 128, 19, 3, 11
2020/1/16, 206, 85, 12, 3, 11
2020/1/17, 157, 149, 21, 6, 15
2020/1/18, 203, 129, 16, 6, 12
2020/1/19, 190, 189, 11, 7, 21
2020/1/20, 219, 201, 17, 6, 20
2020/1/21, 245, 194, 17, 8, 21
2020/1/22, 237, 95, 20, 6, 9
2020/1/23, 148, 106, 23, 7, 11
2020/1/24, 159, 170, 24, 8, 14
2020/1/25, 212, 256, 23, 6, 19
2020/1/26, 283, 205, 15, 8, 33
2020/1/27, 262, 94, 17, 4, 11
2020/1/28, 175, 90, 18, 5, 11
2020/1/29, 156, 98, 19, 5, 10
2020/1/30, 156, 103, 19, 6, 11
2020/1/31, 158, 116, 21, 5, 11
2019/10/1, 91, 66, 25, 8, 6
2019/10/2, 102, 119, 43, 9, 9
2019/10/3, 148, 77, 33, 9, 7
2019/10/4, 123, 85, 38, 9, 7
2019/10/5, 113, 105, 29, 9, 7
2019/10/6, 147, 105, 25, 9, 7
2019/10/7, 140, 85, 29, 7, 120
2019/10/8, 111, 110, 21, 8, 210
2019/10/9, 154, 132, 32, 9, 6
2019/10/10, 174, 166, 58, 7, 14
2019/10/11, 186, 165, 64, 6, 16
2019/10/12, 189, 263, 54, 7, 18
2019/10/13, 229, 179, 47, 7, 6
2019/10/14, 199, 196, 34, 7, 9
2019/10/15, 208, 176, 32, 5, 6
2019/10/16, 208, 146, 33, 4, 4
2019/10/17, 181, 133, 34, 3, 4
2019/10/18, 157, 121, 52, 6, 4
2019/10/19, 158, 131, 28, 6, 5
2019/10/20, 167, 160, 31, 5, 4
2019/10/21, 190, 138, 22, 6, 5
2019/10/22, 171, 195, 30, 7, 11
2019/10/23, 184, 243, 32, 7, 10
2019/10/24, 229, 171, 30, 5, 6
2019/10/25, 182, 168, 31, 5, 7
2019/10/26, 199, 262, 23, 6, 13
2019/10/27, 284, 381, 20, 7, 14
2019/10/28, 400, 551, 63, 9, 26
2019/10/29, 433, 475, 12, 8, 30
2019/10/30, 391, 536, 14, 8, 39
2019/10/31, 420, 597, 22, 11, 28
2019/11/1, 465, 420, 14, 7, 15
2019/11/2, 395, 547, 10, 6, 24
2019/11/3, 546, 316, 12, 6, 13
2019/11/4, 360, 282, 19, 5, 11
2019/11/5, 299, 147, 16, 6, 9
2019/11/6, 190, 189, 9, 6, 9
2019/11/7, 257, 198, 22, 7, 10
2019/11/8, 241, 141, 17, 6, 6
2019/11/9, 198, 265, 25, 7, 7
2019/11/10, 301, 309, 40, 8, 11
2019/11/11, 372, 542, 45, 10, 14
2019/11/12, 473, 499, 55, 11, 19
2019/11/13, 437, 507, 68, 10, 26
2019/11/14, 424, 457, 18, 3, 26
2019/11/15, 360, 172, 22, 2, 9
2019/11/16, 205, 101, 8, 2, 4
2019/11/17, 155, 125, 12, 2, 8
2019/11/18, 178, 183, 8, 3, 13
2019/11/19, 246, 233, 23, 4, 23
2019/11/20, 264, 272, 21, 4, 27
2019/11/21, 297, 241, 75, 5, 13
2019/11/22, 264, 156, 33, 4, 9
2019/11/23, 185, 161, 7, 3, 6
2019/11/24, 153, 117, 20, 3, 7
2019/11/25, 164, 134, 8, 3, 7
2019/11/26, 165, 82, 7, 2, 4
2019/11/27, 123, 42, 8, 1, 3
2019/11/28, 73, 68, 9, 2, 5
2019/11/29, 114, 103, 25, 3, 6
2019/11/30, 148, 115, 2, 3, 7
2019/12/1, 167, 135, 1, 3, 8
2019/12/2, 179, 180, 25, 3, 10
2019/12/3, 190, 210, 62, 4, 15
2019/12/4, 226, 383, 283, 7, 22
2019/12/5, 354, 302, 258, 6, 15
2019/12/6, 300, 253, 89, 6, 15
2019/12/7, 279, 320, 222, 7, 23
2019/12/8, 325, 283, 385, 8, 20
2019/12/9, 287, 334, 43, 9, 24
2019/12/10, 282, 356, 38, 8, 25
2019/12/11, 190, 335, 31, 6, 12
2019/12/12, 328, 84, 22, 3, 6
2019/12/13, 171, 90, 25, 4, 7
2019/12/14, 157, 102, 25, 5, 6
2019/12/15, 174, 94, 5, 4, 6
2019/12/16, 169, 103, 11, 3, 7
2019/12/17, 179, 144, 25, 6, 8
2019/12/18, 212, 277, 8, 6, 15
2019/12/19, 315, 595, 50, 11, 33
2019/12/20, 478, 358, 54, 8, 17
2019/12/21, 356, 146, 22, 5, 8
2019/12/22, 212, 191, 26, 6, 12
2019/12/23, 260, 368, 22, 9, 15
2019/12/24, 337, 175, 3, 6, 9
2019/12/25, 222, 225, 8, 7, 9
2019/12/26, 263, 417, 10, 7, 13
2019/12/27, 317, 393, 74, 8, 16
2019/12/28, 339, 466, 38, 10, 14
2019/12/29, 388, , , , 
2019/7/1, 157, 155, 51, 18, 10
2019/7/2, 151, 74, 20, 18, 10
2019/7/3, 98, 71, 17, 18, 10
2019/7/4, 98, 75, 26, 18, 12
2019/7/5, 110, 49, 14, 18, 10
2019/7/6, 79, 80, 35, 18, 10
2019/7/7, 100, 96, 29, 18, 11
2019/7/8, 136, 81, 8, 18, 11
2019/7/9, 103, 232, 15, 18, 11
2019/7/10, 146, 301, 15, 18, 11
2019/7/11, 157, 315, 20, 18, 11
2019/7/12, 160, 202, 32, 18, 11
2019/7/13, 147, 185, 32, 18, 11
2019/7/14, 145, 92, 26, 18, 11
2019/7/15, 96, 66, 29, 18, 11
2019/7/16, 88, 65, 52, 18, 13
2019/7/17, 102, 63, 19, 18, 11
2019/7/18, 101, 113, 17, 16, 7
2019/7/19, 128, 78, 18, 14, 6
2019/7/20, 127, 83, 18, 14, 6
2019/7/21, 129, 83, 16, 14, 7
2019/7/22, 139, 117, 25, 14, 8
2019/7/23, 150, 108, 25, 13, 7
2019/7/24, 133, 49, 9, 15, 5
2019/7/25, 74, 38, 13, 13, 5
2019/7/26, 69, 38, 12, 13, 5
2019/7/27, 72, 37, 13, 13, 5
2019/7/28, 65, 47, 14, 13, 5
2019/7/29, 72, 60, 12, 13, 5
2019/7/30, 88, 57, 16, 13, 5
2019/7/31, 86, 61, 16, 14, 5
2019/8/1, 93, 60, 14, 13, 6
2019/8/2, 90, 59, 12, 13, 6
2019/8/3, 99, 70, 14, 13, 6
2019/8/4, 112, 71, 20, 13, 7
2019/8/5, 130, 47, 11, 13, 7
2019/8/6, 88, 57, 12, 14, 7
2019/8/7, 90, 66, 14, 13, 6
2019/8/8, 87, 48, 13, 13, 5
2019/8/9, 52, 39, 12, 15, 4
2019/8/10, 62, 49, 15, 13, 2
2019/8/11, 71, 53, 20, 14, 3
2019/8/12, 76, 48, 12, 13, 3
2019/8/13, 67, 53, 27, 14, 5
2019/8/14, 96, 68, 16, 13, 4
2019/8/15, 86, 34, 14, 13, 2
2019/8/16, 57, 14, 11, 13, 2
2019/8/17, 36, 51, 13, 13, 3
2019/8/18, 54, 67, 16, 13, 4
2019/8/19, 117, 74, 12, 12, 4
2019/8/20, 112, 93, 13, 13, 4
2019/8/21, 131, 96, 13, 13, 5
2019/8/22, 128, 98, 11, 12, 11
2019/8/23, 142, 93, 11, 10, 15
2019/8/24, 148, , 11, 12, 4
2019/8/25, 92, 77, 11, 12, 3
2019/8/26, 79, 70, 12, 12, 4
2019/8/27, 101, 65, 13, 11, 3
2019/8/28, 106, 63, 14, 12, 3
2019/8/29, 100, 71, 15, 12, 4
2019/8/30, 113, 79, 19, 12, 5
2019/8/31, 132, 100, 12, 13, 3
2019/9/1, 73, 123, 19, 12, 4
2019/9/2, 128, 89, 17, 10, 5
2019/9/3, 133, 99, 13, 10, 5
2019/9/4, 137, 66, 12, 10, 4
2019/9/5, 82, 67, 12, 10, 4
2019/9/6, 89, 61, 12, 10, 4
2019/9/7, 84, 59, 13, 10, 4
2019/9/8, 83, 92, 25, 10, 4
2019/9/9, 138, 106, 33, 10, 5
2019/9/10, 147, 118, 25, 9, 6
2019/9/11, 160, 84, 8, 9, 6
2019/9/12, 114, 64, 8, 9, 5
2019/9/13, 85, 57, 8, 8, 5
2019/9/14, 74, 59, 9, 8, 6
2019/9/15, 92, 121, 20, 7, 7
2019/9/16, 139, 104, 23, 7, 7
2019/9/17, 161, 67, 16, 8, 5
2019/9/18, 97, 48, 15, 7, 5
2019/9/19, 68, 67, 16, 8, 6
2019/9/20, 98, 65, 20, 7, 6
2019/9/21, 100, 51, 13, 8, 6
2019/9/22, 76, 58, 19, 8, 6
2019/9/23, 90, 64, 30, 8, 6
2019/9/24, 94, 66, 18, 8, 6
2019/9/25, 89, 53, 13, 8, 5
2019/9/26, 71, 44, 13, 8, 5
2019/9/27, 56, 54, 14, 8, 5
2019/9/28, 71, 37, 15, 8, 5
2019/9/29, 50, 56, 18, 8, 5
2019/9/30, 76, 64, 20, 8, 6
2019/6/15, 163, 120, 15, 18, 9
2019/6/16, 106, 106, 13, 18, 9
2019/6/17, 104, 74, 17, 18, 9
2019/6/18, 97, 150, 39, 18, 11
2019/6/19, 147, 88, 19, 18, 9
2019/6/20, 121, 117, 18, 18, 10
2019/6/21, 156, 125, 29, 18, 10
2019/6/22, 157, 107, 11, 18, 9
2019/6/23, 105, 65, 7, 18, 9
2019/6/24, 64, 83, 16, 18, 9
2019/6/25, 121, 109, 16, 18, 10
2019/6/26, 156, 178, 12, 18, 11
2019/6/27, 143, 146, 37, 18, 10
2019/6/28, 130, 190, 35, 18, 10
2019/6/29, 144, 205, 38, 18, 11
2019/6/30, 153, 138, 54, 18, 10
2019/12/31, , 313, 16, 8, 24
2019/6/14, , 191, 26, 18, 12
